Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-1,r4858666-n911952,0,1320,1611619499,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1330,1611619509,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1340,1611619519,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1350,1611619529,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1360,1611619539,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1370,1611619549,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1380,1611619559,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1390,1611619569,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1400,1611619579,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1410,1611619589,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1420,1611619599,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1430,1611619609,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1440,1611619619,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1450,1611619629,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1460,1611619639,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1470,1611619649,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1480,1611619659,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1490,1611619669,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1500,1611619679,3403,0.0,0.0,832,7776,0,0.0,0.0
